"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5697","test_add_items_and_checkout[standard_user-secret_sauce1-Brad-Smith-435345-False]","UI.saucedemo.tests","Fri Aug 29 11:54:53 MSK 2025","passed","Fri Aug 29 11:54:59 MSK 2025","","test_happy","",""
"","6419","test_add_items_and_checkout[standard_user-secret_sauce1-Brad-Smith-435345]","UI.pomodoro.tests","Fri Jul 04 12:33:39 MSK 2025","failed","Fri Jul 04 12:33:46 MSK 2025","","test_happy","",""
"","5354","test_add_items_and_checkout[standard_user-secret_sauce-Jon-Doe-234235-True]","UI.saucedemo.tests","Fri Aug 29 11:54:47 MSK 2025","passed","Fri Aug 29 11:54:53 MSK 2025","","test_happy","",""
"","6420","test_add_items_and_checkout[locked_out_user-secret_sauce-Senen-Hill-345]","UI.pomodoro.tests","Fri Jul 04 12:33:46 MSK 2025","failed","Fri Jul 04 12:33:52 MSK 2025","","test_happy","",""
"","3030","test_add_items_and_checkout[standard_user-secret_sauce-Jon-Doe-234235]","UI.pomodoro.tests","Fri Jul 04 12:33:36 MSK 2025","passed","Fri Jul 04 12:33:39 MSK 2025","","test_happy","",""
"","5676","test_add_items_and_checkout[locked_out_user-secret_sauce-Senen-Hill-345-False]","UI.saucedemo.tests","Fri Aug 29 11:54:59 MSK 2025","passed","Fri Aug 29 11:55:05 MSK 2025","","test_happy","",""
